arm,family,length,trial,expected,predicted,extracted,correct
bare,switches,10,16,4,x,True,False
bare,switches,10,17,4,4,True,True
bare,switches,10,18,4,4,True,True
bare,switches,10,19,6,6,True,True
bare,switches,10,20,4,4,True,True
bare,switches,20,1,8,x,True,False
bare,switches,20,2,4,x,True,False
bare,switches,20,3,6,6,True,True
bare,switches,20,4,4,x,True,False
bare,switches,20,5,4,x,True,False
bare,switches,20,6,2,2,True,True
bare,switches,20,7,4,4,True,True
bare,switches,20,8,0,x,True,False
bare,switches,20,9,4,x,True,False
bare,switches,20,10,4,4,True,True
bare,switches,20,11,4,4,True,True
bare,switches,20,12,6,x,True,False
bare,switches,20,13,4,4,True,True
bare,switches,20,14,4,4,True,True
bare,switches,20,15,4,4,True,True
bare,switches,20,16,4,4,True,True
bare,switches,20,17,2,x,True,False
bare,switches,20,18,2,x,True,False
bare,switches,20,19,4,4,True,True
bare,switches,20,20,4,4,True,True
bare,switches,30,1,4,4,True,True
bare,switches,30,2,2,x,True,False
bare,switches,30,3,6,x,True,False
bare,switches,30,4,6,x,True,False
bare,switches,30,5,6,x,True,False
bare,switches,30,6,6,x,True,False
bare,switches,30,7,2,x,True,False
bare,switches,30,8,2,x,True,False
bare,switches,30,9,4,4,True,True
bare,switches,30,10,4,4,True,True
bare,switches,30,11,6,6,True,True
bare,switches,30,12,6,x,True,False
bare,switches,30,13,6,x,True,False
bare,switches,30,14,6,x,True,False
bare,switches,30,15,4,x,True,False
bare,switches,30,16,6,6,True,True
bare,switches,30,17,4,x,True,False
bare,switches,30,18,4,x,True,False
bare,switches,30,19,4,x,True,False
bare,switches,30,20,4,x,True,False
bare,switches,40,1,2,x,True,False
bare,switches,40,2,6,x,True,False
bare,switches,40,3,4,x,True,False
bare,switches,40,4,2,2,True,True
bare,switches,40,5,6,x,True,False
bare,switches,40,6,6,x,True,False
bare,switches,40,7,4,x,True,False
bare,switches,40,8,4,x,True,False
bare,switches,40,9,6,x,True,False
bare,switches,40,10,4,4,True,True
bare,switches,40,11,4,x,True,False
bare,switches,40,12,4,x,True,False
bare,switches,40,13,4,x,True,False
bare,switches,40,14,4,x,True,False
bare,switches,40,15,4,x,True,False
bare,switches,40,16,4,x,True,False
bare,switches,40,17,4,x,True,False
bare,switches,40,18,4,x,True,False
bare,switches,40,19,6,x,True,False
bare,switches,40,20,6,x,True,False
bare,stack,5,1,"7,9,7","7,9,7",True,True
bare,stack,5,2,"4,3,3","4,3,3",True,True
bare,stack,5,3,"2,4,3","2,4,3",True,True
bare,stack,5,4,2,2,True,True
bare,stack,5,5,"1,4,9",x,True,False
bare,stack,5,6,5,5,True,True
bare,stack,5,7,5,5,True,True
bare,stack,5,8,7,7,True,True
bare,stack,5,9,7,x,True,False
bare,stack,5,10,8,8,True,True
bare,stack,5,11,5,5,True,True
bare,stack,5,12,"9,5,3,9,8","9,5,3,9,8",True,True
bare,stack,5,13,3,3,True,True
bare,stack,5,14,7,7,True,True
bare,stack,5,15,"7,4,5",x,True,False
bare,stack,5,16,4,4,True,True
bare,stack,5,17,"8,1,3,1,2","8,1,3,1,2",True,True
bare,stack,5,18,3,3,True,True
bare,stack,5,19,"3,4,4","3,4,4",True,True
bare,stack,5,20,"2,2,7","2,2,7",True,True
bare,stack,10,1,"2,8,7,4",x,True,False
bare,stack,10,2,"4,3,4,1",x,True,False
bare,stack,10,3,"1,7","1,7",True,True
bare,stack,10,4,"8,8,3,2",x,True,False
bare,stack,10,5,"7,4","7,4",True,True
bare,stack,10,6,empty,empty,True,True
bare,stack,10,7,"3,6,5,7,1,5","3,6,5,7,1,5",True,True
bare,stack,10,8,"9,2,5,2,4,6,4,1","9,2,5,2,4,6,4,1",True,True
bare,stack,10,9,"3,8,6,5","3,8,6,5",True,True
bare,stack,10,10,"7,2,3,7",x,True,False
bare,stack,10,11,"4,9","4,9",True,True
bare,stack,10,12,"3,3,7,4,8,9",x,True,False
bare,stack,10,13,"7,4,6,9","7,4,6,9",True,True
bare,stack,10,14,"4,7,7,9,3,2",x,True,False
bare,stack,10,15,"8,1,4,1","8,1,4,1",True,True
bare,stack,10,16,empty,x,True,True
bare,stack,10,17,"5,6,9,5,6,1","5,6,9,5,6,1",True,True
bare,stack,10,18,"2,4,8,3,7,6,5,3","2,4,8,3,7,6,5,3",True,True
bare,stack,10,19,"1,4,5,5","1,4,5,5",True,True
bare,stack,10,20,"3,1","3,1",True,True
bare,stack,20,1,"5,1,6,1",x,True,False
bare,stack,20,2,"7,4",x,True,False
bare,stack,20,3,"6,1,3,9,6,7","6,1,3,9,6,7",True,True
bare,stack,20,4,empty,x,True,True
bare,stack,20,5,"7,3,4,3,1,4",x,True,False
bare,stack,20,6,"1,2,9,1,6,9",x,True,False
bare,stack,20,7,"5,4,9,3","5,4,9,3",True,True
bare,stack,20,8,"1,6,6,2,1,7,2,2",x,True,False
bare,stack,20,9,"5,9,5,5,8,3","5,9,5,5,8,3",True,True
bare,stack,20,10,"6,8,1,2","6,8,1,2",True,True
bare,stack,20,11,"5,7,6,4",x,True,False
bare,stack,20,12,"2,9,2,7,4,2,8,5,6,4",x,True,False
bare,stack,20,13,"2,6,3,5,7,6,6,2,8,1",x,True,False
bare,stack,20,14,"9,4","9,4",True,True
bare,stack,20,15,"5,6,2,9,3,5",x,True,False
bare,stack,20,16,"2,2,8,4,4,2,4,5,3,8",x,True,False
bare,stack,20,17,"3,1,2,9,4,3","3,1,2,9,4,3",True,True
bare,stack,20,18,"2,8,9,3,5,5,7,2,1,9",x,True,False
bare,stack,20,19,"5,6,6,8,3,7,3,7,3,2,5,9",x,True,False
bare,stack,20,20,"6,7,7,1,4,1,1,8",x,True,False
bare,stack,30,1,"9,5,1,2,4,3",x,True,False
bare,stack,30,2,"2,9,7,9,4,8,7,7,8,6,8,6,3,8",x,True,False
bare,stack,30,3,"3,1,6,1,2,7,8,1","3,1,6,1,2,7,8,1",True,True
bare,stack,30,4,"4,3,8,1,6,9,7,7,2,8,9,6,3,7",x,True,False
bare,stack,30,5,"3,1,4,6,8,7,9,3,5,5,9,2,2,2,4,3",x,True,False
bare,stack,30,6,"3,8,2,1,5,2,1,5,2,5,4,3,9,6,1,7,3,5","3,8,2,1,5,2,1,5,2,5,4,3,9,6,1,7,3,5",True,True
bare,stack,30,7,"6,9,1,2,5,4,9,3,4,3,4,7,8,4",x,True,False
bare,stack,30,8,"1,2,4,9,4,3,7,3,5,5,6,6,2,2,6,3",x,True,False
bare,stack,30,9,"2,1,9,2,7,7",x,True,False
bare,stack,30,10,"3,6,5,8,8,2,6,7,5,9,8,2","3,6,5,8,8,2,6,7,5,9,8,2",True,True
bare,stack,30,11,empty,x,True,True
bare,stack,30,12,"5,2,9,4,8,7,8,2,7,4,2,5,9,6",x,True,False
bare,stack,30,13,"1,2,6,7,2,2,8,4",x,True,False
bare,stack,30,14,"7,8,3,3","7,8,3,3",True,True
bare,stack,30,15,"1,1,9,1,8,8,5,2,5,6,6,3,4,9",x,True,False
bare,stack,30,16,"6,9,4,4,5,3,4,6,9,8",x,True,False
bare,stack,30,17,"7,7,9,7,5,2,1,2,3,3","7,7,9,7,5,2,1,2,3,3",True,True
bare,stack,30,18,"1,3,4,8,5,3,5,7",x,True,False
bare,stack,30,19,"7,8,6,3,1,9,6,9,2,6",x,True,False
bare,stack,30,20,"8,5,3,5,7,6,5,6,1,8",x,True,False
bare,stack,40,1,"3,1,7,7,6,2,9,4,4,4,1,3,3,5,6,3",x,True,False
bare,stack,40,2,"3,9,1,6,3,6,3,8,8,2,5,6,6,4,5,9,7,9,7,1","3,9,1,6,3,6,3,8,8,2,5,6,6,4,5,9,7,9,7,1",True,True
bare,stack,40,3,"6,5,3,9",x,True,False
bare,stack,40,4,"1,9,4,4,3,1,5,5,1,7,1,4,5,1,4,5",x,True,False
bare,stack,40,5,"4,5,9,3,4,2,9,2",x,True,False
bare,stack,40,6,"8,5,4,6,9,6,1,2,3,3,2,4","8,5,4,6,9,6,1,2,3,3,2,4",True,True
bare,stack,40,7,"9,8,9,7,4,3,4,9,9,3,9,3,9,8,4,6,6,3,7,3","9,8,9,7,4,3,4,9,9,3,9,3,9,8,4,6,6,3,7,3",True,True
bare,stack,40,8,"4,6,2,4,6,8,9,3","4,6,2,4,6,8,9,3",True,True
bare,stack,40,9,"8,7,3,4,3,9,1,8,3,6,1,4,8,6,7,5,5,9","8,7,3,4,3,9,1,8,3,6,1,4,8,6,7,5,5,9",True,True
bare,stack,40,10,"5,6,8,2,7,6",x,True,False
bare,stack,40,11,"6,7,8,5,8,7,5,2,5,3,1,8,2,9,6,8",x,True,False
bare,stack,40,12,"1,3,5,9,4,2,2,7",x,True,False
bare,stack,40,13,"1,7,3,9,5,5,9,8,3,8,6,4",x,True,False
bare,stack,40,14,"4,9,3,1,7,6,8,4,1,8,8,2,9,9,4,7,8,1","4,9,3,1,7,6,8,4,1,8,8,2,9,9,4,7,8,1",True,True
bare,stack,40,15,"7,6,1,7,4,8,4,8,4,3,5,9,9,8,3,2",x,True,False
bare,stack,40,16,"2,9,4,9,4,7,6,2",x,True,False
bare,stack,40,17,"4,7,3,5,9,7,5,1,4,4,6,4,1,7","4,7,3,5,9,7,5,1,4,4,6,4,1,7",True,True
bare,stack,40,18,"4,7,3,7,4,6,1,9,4,6",x,True,False
bare,stack,40,19,"6,1,1,3,4,9,5,8,5,3,7,9,1,6,8,6,6,7,2,8",x,True,False
bare,stack,40,20,"3,1,5,3,1,3,5,4,6,2,5,4,2,5,7,9,8,4",x,True,False
verify,modadd,5,1,23,23,True,True
verify,modadd,5,2,68,68,True,True
verify,modadd,5,3,95,95,True,True
verify,modadd,5,4,92,92,True,True
verify,modadd,5,5,59,59,True,True
verify,modadd,5,6,38,38,True,True
verify,modadd,5,7,89,89,True,True
verify,modadd,5,8,33,33,True,True
verify,modadd,5,9,1,1,True,True
verify,modadd,5,10,62,62,True,True
verify,modadd,5,11,73,73,True,True
verify,modadd,5,12,31,31,True,True
verify,modadd,5,13,61,61,True,True
verify,modadd,5,14,96,96,True,True
verify,modadd,5,15,22,22,True,True
verify,modadd,5,16,55,55,True,True
verify,modadd,5,17,9,9,True,True
verify,modadd,5,18,34,34,True,True
verify,modadd,5,19,59,59,True,True
verify,modadd,5,20,71,71,True,True
verify,modadd,10,1,4,4,True,True
verify,modadd,10,2,18,18,True,True
verify,modadd,10,3,29,29,True,True
verify,modadd,10,4,52,x,True,False
verify,modadd,10,5,66,66,True,True
verify,modadd,10,6,5,5,True,True
verify,modadd,10,7,7,7,True,True
verify,modadd,10,8,58,58,True,True
verify,modadd,10,9,46,46,True,True
verify,modadd,10,10,74,74,True,True
verify,modadd,10,11,92,92,True,True
verify,modadd,10,12,15,15,True,True
verify,modadd,10,13,96,96,True,True
verify,modadd,10,14,62,62,True,True
verify,modadd,10,15,71,71,True,True
verify,modadd,10,16,39,39,True,True
verify,modadd,10,17,9,9,True,True
verify,modadd,10,18,49,49,True,True
verify,modadd,10,19,80,80,True,True
verify,modadd,10,20,54,54,True,True
verify,modadd,20,1,27,27,True,True
verify,modadd,20,2,16,16,True,True
verify,modadd,20,3,44,44,True,True
verify,modadd,20,4,58,58,True,True
verify,modadd,20,5,16,16,True,True
verify,modadd,20,6,25,25,True,True
verify,modadd,20,7,23,23,True,True
verify,modadd,20,8,80,80,True,True
verify,modadd,20,9,35,35,True,True
verify,modadd,20,10,16,16,True,True
verify,modadd,20,11,60,60,True,True
verify,modadd,20,12,66,x,True,False
verify,modadd,20,13,62,62,True,True
verify,modadd,20,14,35,35,True,True
verify,modadd,20,15,61,x,True,False
verify,modadd,20,16,64,64,True,True
verify,modadd,20,17,71,71,True,True
verify,modadd,20,18,3,3,True,True
verify,modadd,20,19,7,7,True,True
verify,modadd,20,20,26,26,True,True
verify,modadd,30,1,62,62,True,True
verify,modadd,30,2,44,44,True,True
verify,modadd,30,3,75,75,True,True
verify,modadd,30,4,23,23,True,True
verify,modadd,30,5,90,x,True,False
verify,modadd,30,6,9,9,True,True
verify,modadd,30,7,68,68,True,True
verify,modadd,30,8,25,25,True,True
verify,modadd,30,9,47,47,True,True
verify,modadd,30,10,43,43,True,True
verify,modadd,30,11,14,14,True,True
verify,modadd,30,12,36,x,True,False
verify,modadd,30,13,43,43,True,True
verify,modadd,30,14,87,87,True,True
verify,modadd,30,15,62,62,True,True
verify,modadd,30,16,88,88,True,True
verify,modadd,30,17,17,17,True,True
verify,modadd,30,18,1,1,True,True
verify,modadd,30,19,9,9,True,True
verify,modadd,30,20,58,58,True,True
verify,modadd,40,1,82,x,True,False
verify,modadd,40,2,39,39,True,True
verify,modadd,40,3,22,22,True,True
verify,modadd,40,4,56,x,True,False
verify,modadd,40,5,8,8,True,True
verify,modadd,40,6,25,25,True,True
verify,modadd,40,7,95,95,True,True
verify,modadd,40,8,63,63,True,True
verify,modadd,40,9,81,81,True,True
verify,modadd,40,10,76,76,True,True
verify,modadd,40,11,55,55,True,True
verify,modadd,40,12,94,94,True,True
verify,modadd,40,13,73,x,True,False
verify,modadd,40,14,78,78,True,True
verify,modadd,40,15,16,16,True,True
verify,modadd,40,16,90,x,True,False
verify,modadd,40,17,85,85,True,True
verify,modadd,40,18,23,23,True,True
verify,modadd,40,19,6,6,True,True
verify,modadd,40,20,73,x,True,False
verify,switches,5,1,5,5,True,True
verify,switches,5,2,5,5,True,True
verify,switches,5,3,1,1,True,True
verify,switches,5,4,5,5,True,True
verify,switches,5,5,5,5,True,True
verify,switches,5,6,1,1,True,True
verify,switches,5,7,3,3,True,True
verify,switches,5,8,5,5,True,True
verify,switches,5,9,3,3,True,True
verify,switches,5,10,3,3,True,True
verify,switches,5,11,3,3,True,True
verify,switches,5,12,3,3,True,True
verify,switches,5,13,5,5,True,True
verify,switches,5,14,5,5,True,True
verify,switches,5,15,5,5,True,True
verify,switches,5,16,3,3,True,True
verify,switches,5,17,1,1,True,True
verify,switches,5,18,3,3,True,True
verify,switches,5,19,5,5,True,True
verify,switches,5,20,1,1,True,True
verify,switches,10,1,4,4,True,True
verify,switches,10,2,4,4,True,True
verify,switches,10,3,2,2,True,True
verify,switches,10,4,6,6,True,True
verify,switches,10,5,4,4,True,True
verify,switches,10,6,4,4,True,True
verify,switches,10,7,4,4,True,True
verify,switches,10,8,6,6,True,True
verify,switches,10,9,6,6,True,True
verify,switches,10,10,4,4,True,True
verify,switches,10,11,2,2,True,True
verify,switches,10,12,2,2,True,True
verify,switches,10,13,4,4,True,True
verify,switches,10,14,4,4,True,True
verify,switches,10,15,6,6,True,True
verify,switches,10,16,4,4,True,True
verify,switches,10,17,4,4,True,True
verify,switches,10,18,4,4,True,True
verify,switches,10,19,6,6,True,True
verify,switches,10,20,4,4,True,True
verify,switches,20,1,8,8,True,True
verify,switches,20,2,4,4,True,True
verify,switches,20,3,6,6,True,True
verify,switches,20,4,4,4,True,True
verify,switches,20,5,4,4,True,True
verify,switches,20,6,2,2,True,True
verify,switches,20,7,4,4,True,True
verify,switches,20,8,0,0,True,True
verify,switches,20,9,4,4,True,True
verify,switches,20,10,4,4,True,True
verify,switches,20,11,4,4,True,True
verify,switches,20,12,6,6,True,True
verify,switches,20,13,4,4,True,True
verify,switches,20,14,4,4,True,True
verify,switches,20,15,4,4,True,True
verify,switches,20,16,4,4,True,True
verify,switches,20,17,2,2,True,True
verify,switches,20,18,2,2,True,True
verify,switches,20,19,4,4,True,True
verify,switches,20,20,4,4,True,True
verify,switches,30,1,4,4,True,True
verify,switches,30,2,2,2,True,True
verify,switches,30,3,6,6,True,True
verify,switches,30,4,6,6,True,True
verify,switches,30,5,6,6,True,True
verify,switches,30,6,6,6,True,True
verify,switches,30,7,2,2,True,True
verify,switches,30,8,2,2,True,True
verify,switches,30,9,4,4,True,True
verify,switches,30,10,4,4,True,True
verify,switches,30,11,6,6,True,True
verify,switches,30,12,6,6,True,True
verify,switches,30,13,6,6,True,True
verify,switches,30,14,6,6,True,True
verify,switches,30,15,4,x,True,False
verify,switches,30,16,6,6,True,True
verify,switches,30,17,4,4,True,True
verify,switches,30,18,4,4,True,True
verify,switches,30,19,4,4,True,True
verify,switches,30,20,4,4,True,True
verify,switches,40,1,2,x,True,False
verify,switches,40,2,6,6,True,True
verify,switches,40,3,4,4,True,True
verify,switches,40,4,2,2,True,True
verify,switches,40,5,6,x,True,False
verify,switches,40,6,6,6,True,True
verify,switches,40,7,4,4,True,True
verify,switches,40,8,4,4,True,True
verify,switches,40,9,6,6,True,True
verify,switches,40,10,4,4,True,True
verify,switches,40,11,4,4,True,True
verify,switches,40,12,4,x,True,False
verify,switches,40,13,4,4,True,True
verify,switches,40,14,4,4,True,True
verify,switches,40,15,4,4,True,True
verify,switches,40,16,4,4,True,True
verify,switches,40,17,4,4,True,True
verify,switches,40,18,4,4,True,True
verify,switches,40,19,6,6,True,True
verify,switches,40,20,6,6,True,True
verify,stack,5,1,"7,9,7","7,9,7",True,True
verify,stack,5,2,"4,3,3","4,3,3",True,True
verify,stack,5,3,"2,4,3","2,4,3",True,True
verify,stack,5,4,2,2,True,True
verify,stack,5,5,"1,4,9","1,4,9",True,True
verify,stack,5,6,5,5,True,True
verify,stack,5,7,5,5,True,True
verify,stack,5,8,7,7,True,True
verify,stack,5,9,7,7,True,True
verify,stack,5,10,8,8,True,True
verify,stack,5,11,5,5,True,True
verify,stack,5,12,"9,5,3,9,8","9,5,3,9,8",True,True
verify,stack,5,13,3,3,True,True
verify,stack,5,14,7,7,True,True
verify,stack,5,15,"7,4,5","7,4,5",True,True
verify,stack,5,16,4,4,True,True
verify,stack,5,17,"8,1,3,1,2","8,1,3,1,2",True,True
verify,stack,5,18,3,3,True,True
verify,stack,5,19,"3,4,4","3,4,4",True,True
verify,stack,5,20,"2,2,7","2,2,7",True,True
verify,stack,10,1,"2,8,7,4","2,8,7,4",True,True
verify,stack,10,2,"4,3,4,1","4,3,4,1",True,True
verify,stack,10,3,"1,7","1,7",True,True
verify,stack,10,4,"8,8,3,2","8,8,3,2",True,True
verify,stack,10,5,"7,4","7,4",True,True
verify,stack,10,6,empty,empty,True,True
verify,stack,10,7,"3,6,5,7,1,5","3,6,5,7,1,5",True,True
verify,stack,10,8,"9,2,5,2,4,6,4,1",x,True,False
verify,stack,10,9,"3,8,6,5","3,8,6,5",True,True
verify,stack,10,10,"7,2,3,7","7,2,3,7",True,True
verify,stack,10,11,"4,9","4,9",True,True
verify,stack,10,12,"3,3,7,4,8,9","3,3,7,4,8,9",True,True
verify,stack,10,13,"7,4,6,9","7,4,6,9",True,True
verify,stack,10,14,"4,7,7,9,3,2","4,7,7,9,3,2",True,True
verify,stack,10,15,"8,1,4,1","8,1,4,1",True,True
verify,stack,10,16,empty,empty,True,True
verify,stack,10,17,"5,6,9,5,6,1","5,6,9,5,6,1",True,True
verify,stack,10,18,"2,4,8,3,7,6,5,3","2,4,8,3,7,6,5,3",True,True
verify,stack,10,19,"1,4,5,5","1,4,5,5",True,True
verify,stack,10,20,"3,1","3,1",True,True
verify,stack,20,1,"5,1,6,1","5,1,6,1",True,True
verify,stack,20,2,"7,4","7,4",True,True
verify,stack,20,3,"6,1,3,9,6,7","6,1,3,9,6,7",True,True
verify,stack,20,4,empty,x,True,True
verify,stack,20,5,"7,3,4,3,1,4","7,3,4,3,1,4",True,True
verify,stack,20,6,"1,2,9,1,6,9","1,2,9,1,6,9",True,True
verify,stack,20,7,"5,4,9,3","5,4,9,3",True,True
verify,stack,20,8,"1,6,6,2,1,7,2,2","1,6,6,2,1,7,2,2",True,True
verify,stack,20,9,"5,9,5,5,8,3","5,9,5,5,8,3",True,True
verify,stack,20,10,"6,8,1,2","6,8,1,2",True,True
verify,stack,20,11,"5,7,6,4",x,True,False
verify,stack,20,12,"2,9,2,7,4,2,8,5,6,4","2,9,2,7,4,2,8,5,6,4",True,True
verify,stack,20,13,"2,6,3,5,7,6,6,2,8,1","2,6,3,5,7,6,6,2,8,1",True,True
verify,stack,20,14,"9,4","9,4",True,True
verify,stack,20,15,"5,6,2,9,3,5","5,6,2,9,3,5",True,True
verify,stack,20,16,"2,2,8,4,4,2,4,5,3,8","2,2,8,4,4,2,4,5,3,8",True,True
verify,stack,20,17,"3,1,2,9,4,3",x,True,False
verify,stack,20,18,"2,8,9,3,5,5,7,2,1,9","2,8,9,3,5,5,7,2,1,9",True,True
verify,stack,20,19,"5,6,6,8,3,7,3,7,3,2,5,9","5,6,6,8,3,7,3,7,3,2,5,9",True,True
verify,stack,20,20,"6,7,7,1,4,1,1,8","6,7,7,1,4,1,1,8",True,True
verify,stack,30,1,"9,5,1,2,4,3","9,5,1,2,4,3",True,True
verify,stack,30,2,"2,9,7,9,4,8,7,7,8,6,8,6,3,8","2,9,7,9,4,8,7,7,8,6,8,6,3,8",True,True
verify,stack,30,3,"3,1,6,1,2,7,8,1","3,1,6,1,2,7,8,1",True,True
verify,stack,30,4,"4,3,8,1,6,9,7,7,2,8,9,6,3,7",x,True,False
verify,stack,30,5,"3,1,4,6,8,7,9,3,5,5,9,2,2,2,4,3","3,1,4,6,8,7,9,3,5,5,9,2,2,2,4,3",True,True
verify,stack,30,6,"3,8,2,1,5,2,1,5,2,5,4,3,9,6,1,7,3,5","3,8,2,1,5,2,1,5,2,5,4,3,9,6,1,7,3,5",True,True
verify,stack,30,7,"6,9,1,2,5,4,9,3,4,3,4,7,8,4","6,9,1,2,5,4,9,3,4,3,4,7,8,4",True,True
verify,stack,30,8,"1,2,4,9,4,3,7,3,5,5,6,6,2,2,6,3","1,2,4,9,4,3,7,3,5,5,6,6,2,2,6,3",True,True
verify,stack,30,9,"2,1,9,2,7,7","2,1,9,2,7,7",True,True
verify,stack,30,10,"3,6,5,8,8,2,6,7,5,9,8,2","3,6,5,8,8,2,6,7,5,9,8,2",True,True
verify,stack,30,11,empty,empty,True,True
verify,stack,30,12,"5,2,9,4,8,7,8,2,7,4,2,5,9,6","5,2,9,4,8,7,8,2,7,4,2,5,9,6",True,True
verify,stack,30,13,"1,2,6,7,2,2,8,4","1,2,6,7,2,2,8,4",True,True
verify,stack,30,14,"7,8,3,3","7,8,3,3",True,True
verify,stack,30,15,"1,1,9,1,8,8,5,2,5,6,6,3,4,9","1,1,9,1,8,8,5,2,5,6,6,3,4,9",True,True
verify,stack,30,16,"6,9,4,4,5,3,4,6,9,8","6,9,4,4,5,3,4,6,9,8",True,True
verify,stack,30,17,"7,7,9,7,5,2,1,2,3,3","7,7,9,7,5,2,1,2,3,3",True,True
verify,stack,30,18,"1,3,4,8,5,3,5,7",x,True,False
verify,stack,30,19,"7,8,6,3,1,9,6,9,2,6","7,8,6,3,1,9,6,9,2,6",True,True
